iter	Passed	Remaining
0	220	65841
1	276	41252
2	326	32295
3	376	27892
4	426	25136
5	479	23508
6	530	22193
7	577	21092
8	627	20303
9	678	19663
10	730	19195
11	781	18764
12	831	18355
13	881	17999
14	925	17592
15	975	17321
16	1024	17048
17	1071	16783
18	1116	16512
19	1165	16316
20	1211	16091
21	1257	15893
22	1310	15780
23	1356	15599
24	1399	15393
25	1447	15258
26	1488	15049
27	1531	14877
28	1584	14810
29	1628	14660
30	1667	14472
31	1711	14335
32	1758	14229
33	1799	14076
34	1839	13927
35	1884	13818
36	1923	13673
37	1961	13524
38	2004	13416
39	2052	13338
40	2093	13224
41	2142	13158
42	2188	13078
43	2236	13011
44	2274	12890
45	2317	12797
46	2362	12717
47	2404	12624
48	2454	12573
49	2502	12510
50	2553	12464
51	2602	12410
52	2646	12331
53	2696	12285
54	2744	12226
55	2789	12152
56	2829	12062
57	2874	11995
58	2914	11904
59	2956	11827
60	2999	11753
61	3043	11682
62	3083	11598
63	3123	11517
64	3166	11448
65	3206	11369
66	3244	11284
67	3282	11198
68	3327	11141
69	3368	11067
70	3405	10983
71	3448	10921
72	3491	10857
73	3531	10785
74	3573	10720
75	3615	10654
76	3657	10591
77	3695	10516
78	3734	10447
79	3774	10380
80	3822	10334
81	3884	10326
82	3923	10257
83	3973	10218
84	4013	10151
85	4055	10091
86	4098	10034
87	4140	9975
88	4182	9914
89	4226	9862
90	4265	9796
91	4305	9734
92	4346	9674
93	4384	9608
94	4423	9545
95	4467	9493
96	4509	9437
97	4557	9393
98	4601	9343
99	4641	9283
100	4680	9221
101	4722	9166
102	4764	9112
103	4801	9049
104	4840	8989
105	4879	8929
106	4930	8893
107	4971	8837
108	5015	8788
109	5059	8738
110	5109	8700
111	5155	8654
112	5198	8602
113	5241	8551
114	5283	8498
115	5324	8445
116	5370	8399
117	5410	8345
118	5452	8292
119	5497	8246
120	5535	8189
121	5577	8138
122	5616	8081
123	5650	8020
124	5687	7962
125	5724	7904
126	5763	7850
127	5796	7788
128	5835	7735
129	5874	7682
130	5910	7625
131	5950	7572
132	5988	7519
133	6031	7472
134	6071	7421
135	6108	7366
136	6150	7318
137	6190	7267
138	6231	7217
139	6268	7164
140	6303	7108
141	6352	7068
142	6393	7019
143	6431	6967
144	6474	6921
145	6514	6871
146	6552	6819
147	6590	6768
148	6625	6714
149	6665	6665
150	6703	6614
151	6742	6565
152	6780	6514
153	6816	6462
154	6853	6411
155	6894	6364
156	6928	6310
157	6968	6263
158	7004	6211
159	7051	6169
160	7105	6134
161	7168	6106
162	7206	6057
163	7247	6010
164	7292	5966
165	7330	5917
166	7373	5872
167	7451	5854
168	7522	5830
169	7589	5803
170	7648	5770
171	7697	5728
172	7749	5688
173	7794	5644
174	7840	5600
175	7884	5555
176	7933	5513
177	7981	5470
178	8027	5426
179	8073	5382
180	8116	5336
181	8162	5292
182	8203	5245
183	8253	5203
184	8294	5155
185	8333	5107
186	8371	5058
187	8411	5011
188	8457	4967
189	8508	4926
190	8551	4879
191	8589	4831
192	8635	4787
193	8675	4740
194	8720	4695
195	8782	4659
196	8836	4620
197	8882	4575
198	8926	4530
199	8968	4484
200	9013	4439
201	9055	4393
202	9094	4345
203	9134	4298
204	9174	4251
205	9209	4202
206	9245	4153
207	9282	4105
208	9325	4060
209	9367	4014
210	9406	3967
211	9442	3919
212	9487	3875
213	9530	3830
214	9574	3785
215	9612	3738
216	9651	3691
217	9686	3643
218	9720	3595
219	9752	3546
220	9787	3498
221	9825	3452
222	9867	3407
223	9910	3362
224	9951	3317
225	9991	3271
226	10034	3226
227	10074	3181
228	10118	3137
229	10157	3091
230	10193	3044
231	10231	2998
232	10268	2952
233	10307	2907
234	10349	2862
235	10396	2819
236	10441	2775
237	10482	2730
238	10526	2686
239	10558	2639
240	10599	2594
241	10638	2549
242	10671	2503
243	10708	2457
244	10751	2413
245	10795	2369
246	10834	2324
247	10874	2280
248	10914	2235
249	10953	2190
250	10990	2145
251	11026	2100
252	11073	2057
253	11113	2012
254	11153	1968
255	11214	1927
256	11257	1883
257	11315	1842
258	11369	1799
259	11419	1756
260	11470	1713
261	11517	1670
262	11562	1626
263	11614	1583
264	11658	1539
265	11702	1495
266	11741	1451
267	11783	1406
268	11823	1362
269	11863	1318
270	11905	1274
271	11958	1230
272	12005	1187
273	12046	1143
274	12088	1098
275	12132	1054
276	12169	1010
277	12209	966
278	12251	922
279	12293	878
280	12341	834
281	12386	790
282	12431	746
283	12482	703
284	12526	659
285	12575	615
286	12618	571
287	12656	527
288	12695	483
289	12736	439
290	12777	395
291	12814	351
292	12854	307
293	12894	263
294	12932	219
295	12972	175
296	13013	131
297	13052	87
298	13097	43
299	13136	0
